ns2:coordinates;ns3:carretera;ns3:municipi;ns3:pk;ns3:link;ns3:font;font;id;url
2.27965398,41.4710549;B-20;MONTGAT;24,65;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc67.jpg;SCT;gencat;nc67;?font=gencat&id=nc67
2.07121286,41.33229667;B-20;SANT BOI;0,83;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc65.jpg;SCT;gencat;sc65;?font=gencat&id=sc65
2.08163599,41.33576213;B-20;EL PRAT;1,65;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc64.jpg;SCT;gencat;sc64;?font=gencat&id=sc64
2.75909615,41.7852123;C-35;MA�ANET DE LA SELVA;84;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb1.jpg;SCT;gencat;cb1;?font=gencat&id=cb1
0.45593978,41.53806059;A-2;SOSES;445;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc62.jpg;SCT;gencat;sc62;?font=gencat&id=sc62
0.55225371,41.6266203;A-2;LLEIDA;456,73;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc63.jpg;SCT;gencat;sc63;?font=gencat&id=sc63
1.41970816,41.62317981;A-2;MONTMANEU;534,5;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc61.jpg;SCT;gencat;sc61;?font=gencat&id=sc61
1.68214906,41.59419695;A-2;CASTELLOL�;560,58;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc60.jpg;SCT;gencat;sc60;?font=gencat&id=sc60
2.04238086,41.36891741;A-2;SANT JOAN DESP�;606,09;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc59.jpg;SCT;gencat;sc59;?font=gencat&id=sc59
2.05385692,41.35565067;A-2;SANT JOAN DESP�;608,13;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc58.jpg;SCT;gencat;sc58;?font=gencat&id=sc58
2.01125799,41.41351189;B-23;SANT VICEN� DELS HORTS;11,1;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc40.jpg;SCT;gencat;sc40;?font=gencat&id=sc40
2.0043869,41.43493787;B-23;PAPIOL;13,57;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc43.jpg;SCT;gencat;sc43;?font=gencat&id=sc43
1.99412641,41.44633866;B-23;PAPIOL;15,2;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc44.jpg;SCT;gencat;sc44;?font=gencat&id=sc44
2.21762793,41.42453068;C-31;SANT ADRI� DE BES�S;209,13;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc2.jpg;SCT;gencat;nc2;?font=gencat&id=nc2
2.22474675,41.43189432;C-31;BADALONA;210,15;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc3.jpg;SCT;gencat;nc3;?font=gencat&id=nc3
2.23201444,41.44322244;C-31;BADALONA CENTRE;211,64;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc82.jpg;SCT;gencat;nc82;?font=gencat&id=nc82
2.27239654,41.46464921;C-31;MONTGAT;215,81;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=nc8.jpg;SCT;gencat;nc8;?font=gencat&id=nc8
1.99965568,41.26998903;C-31;CASTELLDEFELS;182,65;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc18.jpg;SCT;gencat;sc18;?font=gencat&id=sc18
2.05576847,41.29348633;C-31;VILADECANS;188,94;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc12.jpg;SCT;gencat;sc12;?font=gencat&id=sc12
2.07335412,41.31879083;C-31;AEROPORT;192,18;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=sc70.jpg;SCT;gencat;sc70;?font=gencat&id=sc70
2.84190458,41.8017901;C-35;CALDES DE MALAVELLA;91,5;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb4.jpg;SCT;gencat;cb4;?font=gencat&id=cb4
2.87571275,41.80793591;C-35;LLAGOSTERA;94,7;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb5.jpg;SCT;gencat;cb5;?font=gencat&id=cb5
2.89657676,41.81103899;C-35;LLAGOSTERA;96,5;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb6.jpg;SCT;gencat;cb6;?font=gencat&id=cb6
3.06715633,41.95721731;C-66;LA BISBAL D EMPORD�;7,5;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb25.jpg;SCT;gencat;cb25;?font=gencat&id=cb25
2.88415644,41.87047677;C-65;CASS� DE LA SELVA;17;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cb10.jpg;SCT;gencat;cb10;?font=gencat&id=cb10
0.70822775,40.8236911;N-340;L AMPOLLA;1099,2;http://mct.gencat.cat/mct2bo/RenderService?sctidcam=cd17.jpg;SCT;gencat;cd17;?font=gencat&id=cd17
2.00746247,41.5569824;Pl Dore;Terrassa;;http://urgell.terrassa.cat/it_terrassa/cam01.jpeg?a=1;Terrassa;terrassa;cam01;?font=terrassa&id=cam01
2.01768703,41.55813019;Topete-Montcada;Terrassa;;http://urgell.terrassa.cat/it_terrassa/cam02.jpeg?a=1;Terrassa;terrassa;cam02;?font=terrassa&id=cam02
2.00210668,41.57383071;Tarradelles-Abad Marcet;Terrassa;;http://urgell.terrassa.cat/it_terrassa/cam03.jpeg?a=1;Terrassa;terrassa;cam03;?font=terrassa&id=cam03
2.02210166,41.56410054;Jaquard-Castellar;Terrassa;;http://urgell.terrassa.cat/it_terrassa/cam04.jpeg?a=1;Terrassa;terrassa;cam04;?font=terrassa&id=cam04
2.03347089,41.5682078;Avda. Vall�s - 22 juliol (est);Terrassa;;http://urgell.terrassa.cat/it_terrassa/cam05.jpeg?a=1;Terrassa;terrassa;cam05;?font=terrassa&id=cam05
2.03453844,41.56818817;Avda. Vall�s - 22 juliol (oest);Terrassa;;http://urgell.terrassa.cat/it_terrassa/cam06.jpeg?a=1;Terrassa;terrassa;cam06;?font=terrassa&id=cam06
2.02789291,41.55667167;Avda. Gl. Catalanes-Agricultura;Terrassa;;http://urgell.terrassa.cat/it_terrassa/cam07.jpeg?a=1;Terrassa;terrassa;cam07;?font=terrassa&id=cam07
